0134119,'The 1950s. Manhattan lavatory attendant, Tom Ripley, borrows a Princeton jacket to play piano at a garden party. When the wealthy father of a recent Princeton grad chats Tom up, Tom pretends to know the son and is soon offered $1,000 to go to Italy to convince Dickie Greenleaf to return home. In Italy, Tom attaches himself to Dickie and to Marge, Dickie's cultured fiancée, pretending to love jazz and harboring homoerotic hopes as he soaks in luxury. Besides lying, Tom's talents include impressions and forgery, so when the handsome and confident Dickie tires of Tom, dismissing him as a bore, Tom goes to extreme lengths to make Greenleaf's privileges his own.              ',
0068611,'London is terrorised by a vicious sex killer known as the neck tie murderer. Following the brutal slaying of his ex-wife, down-on-his-luck Richard Blaney is suspected by the police of being the killer. He goes on the run, determined to prove his innocence.              ',
0275230,'In Japan, the vampire-hunter Saya, who is a powerful original, is sent by her liaison with the government, David, posed as a teenage student to the Yokota High School on the eve of Halloween to hunt down vampires. Saya asks David to give a new katana to her. Soon she saves the school nurse Makiho Amano from two vampires disguised of classmates and Makiho witnesses her fight against the powerful demons.              ',
0059958,''The Oilprince' is an unscrupulous businessman. He looks forward to a lucrative deal with the "Western Arizona Bank'. He sells the bank oil wells at Shelly Lake that do actually not exist. The Oilprince learns that the colonists would like to settle at Shelly Lake. So The Oilprince exchanges the scout of the settlers by one of his minions to give them another route. But soon The Oilprince has to recognize that he has not counted on Winnetou, the righteous leader of the Apaches, and his blood brother Old Surehand.              ',
0816692,'In the near future, Earth has been devastated by drought and famine, causing a scarcity in food and extreme changes in climate. When humanity is facing extinction, a mysterious rip in the space-time continuum is discovered, giving mankind the opportunity to widen its lifespan. A group of explorers must travel beyond our solar system in search of a planet that can sustain life. The crew of the Endurance are required to think bigger and go further than any human in history as they embark on an interstellar voyage into the unknown. Coop, the pilot of the Endurance, must decide between seeing his children again and the future of the human race.              ',
0076054,'Schoolgirl Annabel is hassled by her mother, and Mrs. Andrews is annoyed with her daughter, Annabel. They each think that the other has an easy life. On a normal Friday morning, each complain about the other and wish she could have the easy life of her daughter/mother for just one day and their wishes come true as a bit of magic puts Annabel in Mrs. Andrews' body and vice versa. They each have a Freaky Friday.              ',
0382734,'The sad, strange life of Harvie, who is born into an impoverished Middle European existence, and whose one constant is the book of "fakts" he keeps adding to, worn around his neck. After a childhood tragedy, he emigrates to Australia, where he has a succession of menial jobs, eventually ending up in a retirement home. Along the way, he has a string of bad luck, leaving him with, among other things, a steel plate in his skull that becomes a magnet.              ',
1760519,'',
0114369,'A film about two homicide detectives' (Morgan Freeman and (Brad Pitt desperate hunt for a serial killer who justifies his crimes as absolution for the world's ignorance of the Seven Deadly Sins. The movie takes us from the tortured remains of one victim to the next as the sociopathic "John Doe" (Kevin Spacey) sermonizes to Detectives Somerset and Mills -- one sin at a time. The sin of Gluttony comes first and the murderer's terrible capacity is graphically demonstrated in the dark and subdued tones characteristic of film noir. The seasoned and cultured but jaded Somerset researches the Seven Deadly Sins in an effort to understand the killer's modus operandi while the bright but green and impulsive Detective Mills (Pitt) scoffs at his efforts to get inside the mind of a killer...              ',
1394463,'',
4946702,'',
0638690,'MacGyver's friend Penny is the star of a new hit musical. MacGyver shows up to give her all the support she needs only to find out that the director is really an old enemy of MacGyver's and Pete's in disguise. But, once again MacGyver saves the day.              ',
1007026,'Dozens of Utah DVD retailers attracted unwanted attention from Hollywood heavyweights when, in the name of conservative family values, they began sanitizing films of sex, nudity, profanity, and violence. Outraged over the unauthorized editing of their work, prominent filmmakers began to speak out, thrusting the two groups into an intense legal, theoretical, and moral battle that would last six years before coming to a shocking conclusion.              ',
