nameless,1.481920137601431
11,-0.33099321904142437
1917,1.6580113966571122
boot,1.3569814009931311
ehk,1.9590413923210932
armstrong,1.9590413923210932
71st,1.9590413923210932
sutton,1.2600713879850747
coeur,1.9590413923210932
trace,1.2600713879850747
bobbi,1.3569814009931311
partak,1.6580113966571122
vermont,1.9590413923210932
greedi,0.8450980400142567
smooth,1.481920137601431
abudhabi,1.9590413923210932
withoutabox,-1.0113054839089997
motto,1.9590413923210932
borden,1.9590413923210932
zachari,1.9590413923210932
lianna,1.9590413923210932
bizar,1.9590413923210932
unawar,0.561101383649056
theo,1.9590413923210932
kamino,1.9590413923210932
theoriz,1.6580113966571122
taunt,1.9590413923210932
comed,1.6580113966571122
filmstart,1.9590413923210932
yumiko,1.9590413923210932
pride,1.0559514053291499
mcclane,1.3569814009931311
oskar,1.9590413923210932
backseat,1.6580113966571122
footbal,1.481920137601431
shin,1.481920137601431
cia,1.2600713879850747
regard,0.7285924709428195
tear,0.8798601462734688
snazzi,1.9590413923210932
holdout,1.9590413923210932
michigan,1.6580113966571122
frantic,1.1808901419374498
mentor,1.0047988828817687
comput,0.7037688872177874
trl,1.9590413923210932
putti,1.9590413923210932
kendal,1.6580113966571122
necessarili,1.9590413923210932
29,-0.23961569463332902
hudgen,1.9590413923210932
scratch,1.9590413923210932
sayl,1.9590413923210932
severest,1.9590413923210932
baratheon,1.9590413923210932
roxann,1.9590413923210932
rommel,1.9590413923210932
thwart,1.1808901419374498
unrespons,1.9590413923210932
playgirl,1.9590413923210932
happili,1.0559514053291499
kaplan,1.9590413923210932
yard,1.2600713879850747
chiwetel,1.9590413923210932
sanjay,1.6580113966571122
atmospher,1.481920137601431
mcauley,1.9590413923210932
linh,1.9590413923210932
automat,1.481920137601431
arquett,1.9590413923210932
dough,1.9590413923210932
halton,1.9590413923210932
slapstick,1.9590413923210932
apocalyps,1.2600713879850747
morocco,1.481920137601431
miyasaki,1.9590413923210932
lookout,1.6580113966571122
outlook,1.6580113966571122
unknown,0.42756247527883845
saddam,1.9590413923210932
promptli,1.1808901419374498
incant,1.9590413923210932
englishman,1.3569814009931311
august,1.1139433523068367
payment,1.6580113966571122
shinohara,1.9590413923210932
albayrak,1.9590413923210932
y,1.3569814009931311
stalker,1.9590413923210932
andrew,0.9176487071628685
snyder,1.9590413923210932
buscando,1.9590413923210932
snoop,1.6580113966571122
zoroastrian,1.9590413923210932
jurass,1.9590413923210932
whilst,0.6580113966571124
johnni,0.7829501332654123
simanton,1.9590413923210932
obsess,0.6580113966571124
pharmaci,1.9590413923210932
anyway,1.1808901419374498
tempt,1.481920137601431
deport,1.3569814009931311
humphrey,1.6580113966571122
microphon,1.9590413923210932
hypnosi,1.9590413923210932
anatomi,1.9590413923210932
recount,1.1139433523068367
somayeh,1.9590413923210932
jupit,1.6580113966571122
braveri,1.3569814009931311
orc,1.3569814009931311
mcqueen,1.6580113966571122
san,0.8450980400142567
3rd,1.6580113966571122
norwegian,1.481920137601431
antic,1.6580113966571122
warfar,1.6580113966571122
pineappl,1.9590413923210932
fkelleghan,1.9590413923210932
teenag,0.45389141400118754
ferment,1.9590413923210932
undead,1.6580113966571122
starful,1.9590413923210932
cun,1.481920137601431
cantanker,1.9590413923210932
depp,1.6580113966571122
plaza,1.6580113966571122
doom,0.8450980400142567
provenc,1.9590413923210932
noir,0.8129133566428555
colbert,1.3569814009931311
finney,1.9590413923210932
postur,1.9590413923210932
stallion,1.9590413923210932
congenit,1.9590413923210932
gasolin,1.6580113966571122
dupe,1.3569814009931311
ensnar,1.6580113966571122
colbi,1.9590413923210932
constitut,1.9590413923210932
process,0.4966433944221375
rapport,1.9590413923210932
clasic,1.9590413923210932
yudelson,1.9590413923210932
forrest,1.481920137601431
brian,0.5118833609788743
shadowi,1.2600713879850747
accent,1.9590413923210932
loophol,1.9590413923210932
tehran,1.481920137601431
mattia,1.3569814009931311
vitup,1.9590413923210932
daphn,1.9590413923210932
egerman,1.6580113966571122
cherish,1.6580113966571122
sigfrid,1.9590413923210932
thread,1.481920137601431
rcs0411,0.5973135563035007
maneuv,1.6580113966571122
jonah,1.9590413923210932
azkaban,1.9590413923210932
hazel,1.9590413923210932
megalomaniac,1.6580113966571122
parrish,1.9590413923210932
stroll,1.9590413923210932
karushif,1.9590413923210932
adapt,0.9176487071628685
mulwray,1.9590413923210932
gare,1.9590413923210932
melodi,1.6580113966571122
1572,1.9590413923210932
candyland,1.9590413923210932
mi,1.481920137601431
skimpi,1.9590413923210932
digit,-1.0113054839089997
maxvaughn,1.9590413923210932
similar,0.8450980400142567
saif,1.6580113966571122
keanu,1.1808901419374498
9,0.06141430103065213
percept,1.9590413923210932
cat,0.8129133566428555
workless,1.9590413923210932
batman,1.2600713879850747
funfair,1.9590413923210932
schoolboy,1.481920137601431
adiapt,1.9590413923210932
stronghold,1.9590413923210932
208,1.9590413923210932
menzi,1.9590413923210932
nois,1.3569814009931311
emot,0.4027388915538063
meteorologist,1.9590413923210932
brigg,1.9590413923210932
guarante,1.6580113966571122
horcrux,1.9590413923210932
pointless,1.9590413923210932
continu,0.06141430103065213
vitriol,1.9590413923210932
toyko,1.9590413923210932
duval,1.9590413923210932
klondik,1.9590413923210932
executor,1.9590413923210932
suitor,1.3569814009931311
soda,1.481920137601431
rey,1.6580113966571122
72nd,1.9590413923210932
flo,1.9590413923210932
dl,1.9590413923210932
caparulo,1.9590413923210932
pascal,1.9590413923210932
leav,-0.25314621208286414
prashant,1.9590413923210932
harbour,1.9590413923210932
pubesc,1.9590413923210932
